TimeStamp,Pressure,Temperature,Humidity,LEDStatus,Resistance,Vstart,Vend,Vint
10/10/2017 18:03:59,1008.36,24.89,43.10,0,2587.627441,1,3,0.1
10/10/2017 18:04:00,1008.34,24.89,43.03,0,2587.826172,1,3,0.1
10/10/2017 18:04:01,1008.31,24.89,42.97,0,2586.284180,1,3,0.1
10/10/2017 18:04:01,959.43,24.89,42.81,0,2587.548828,1,3,0.1
10/10/2017 18:04:02,816.81,24.82,41.45,0,2588.124512,1,3,0.1
10/10/2017 18:04:03,719.25,24.78,39.67,0,2588.296387,1,3,0.1
10/10/2017 18:04:04,639.54,24.74,37.46,0,2590.232910,1,3,0.1
10/10/2017 18:04:05,573.26,24.72,35.25,0,2590.921387,1,3,0.1
10/10/2017 18:04:06,517.92,24.70,33.12,0,2591.810059,1,3,0.1
10/10/2017 18:04:07,477.10,24.69,31.30,0,2592.587891,1,3,0.1
10/10/2017 18:04:08,438.56,24.67,29.54,0,2593.428955,1,3,0.1
10/10/2017 18:04:09,407.58,24.65,28.09,0,2593.261230,1,3,0.1
10/10/2017 18:04:09,379.20,24.64,26.74,0,2593.945313,1,3,0.1
10/10/2017 18:04:10,357.31,24.63,25.65,0,2595.648438,1,3,0.1
10/10/2017 18:04:11,338.87,24.61,24.67,0,2596.518555,1,3,0.1
10/10/2017 18:04:12,326.55,24.60,23.89,0,2596.004883,1,3,0.1
10/10/2017 18:04:13,322.92,24.60,23.39,0,2597.480957,1,3,0.1
10/10/2017 18:04:14,323.59,24.60,23.11,0,2597.169434,1,3,0.1
10/10/2017 18:04:15,323.74,24.60,22.99,0,2597.541992,1,3,0.1
10/10/2017 18:04:16,323.80,24.59,22.97,0,2599.188965,1,3,0.1
10/10/2017 18:04:16,323.89,24.59,23.02,0,2599.237549,1,3,0.1
10/10/2017 18:04:17,323.92,24.59,23.10,0,2599.104980,1,3,0.1
10/10/2017 18:04:18,324.04,24.59,23.19,0,2598.656738,1,3,0.1
10/10/2017 18:04:19,324.11,24.58,23.30,0,2598.430908,1,3,0.1
10/10/2017 18:04:20,324.13,24.58,23.39,0,2598.773682,1,3,0.1
10/10/2017 18:04:21,324.24,24.58,23.50,0,2599.778320,1,3,0.1
10/10/2017 18:04:22,324.22,24.58,23.59,0,2599.721680,1,3,0.1
10/10/2017 18:04:23,324.28,24.58,23.70,0,2600.030273,1,3,0.1
10/10/2017 18:04:24,324.31,24.57,23.79,0,2599.789551,1,3,0.1
10/10/2017 18:04:24,324.40,24.57,23.87,0,2600.270508,1,3,0.1
10/10/2017 18:04:25,324.43,24.58,23.94,0,2600.275879,1,3,0.1
